date,USD,EUR,RUB
2014-12-19,15.8191409767,19.3520039003,0.2678859048
2014-12-20,15.8191404006,19.3456609318,0.2686789246
2014-12-21,15.8191404006,19.3455914688,0.2686789246
2014-12-22,15.8573995590,19.4280123353,0.2821402512
2014-12-23,15.7114613871,19.1340544984,0.2874912455
2014-12-24,15.8198388057,19.2861359239,0.2937302799
2014-12-25,15.8198410221,19.3732551473,0.3001179963
2014-12-26,15.8198411067,19.2625142441,0.2935813376
2014-12-27,15.8198411182,19.2733333555,0.2938442743
2014-12-28,15.8198411182,19.2733300081,0.2938442743
2014-12-29,15.7961763589,19.2406347799,0.2741477323
2014-12-30,15.8183421585,19.2584212715,0.2829348223
2014-12-31,15.8182624245,19.1562840824,0.2700605524
2015-01-01,15.8183421587,19.1371037142,0.2612716270
2015-01-02,15.8183421587,18.9975843986,0.2677852912
2015-01-03,15.7685003281,18.9230708549,0.2695009533
2015-01-04,15.7685003281,18.9230708549,0.2695009533
2015-01-05,15.7685003281,18.7934515157,0.2621346624
2015-01-06,15.7797000122,18.8321805977,0.2518556202
2015-01-07,15.8248936589,18.7103592118,0.2510964938
2015-01-08,15.8033477521,18.6616960364,0.2631591275
2015-01-09,15.7989087670,18.6969393478,0.2554246373
2015-01-10,15.7489995956,18.6500084027,0.2540673458
2015-01-11,15.7489995956,18.6500084027,0.2540673458
2015-01-12,15.8033480721,18.6960174862,0.2506556975
2015-01-13,15.8177414243,18.6318376326,0.2404392829
2015-01-14,15.8188486212,18.6743334088,0.2396114935
2015-01-15,15.8258423028,18.3615604563,0.2444772900
2015-01-16,15.7975012439,18.2019675961,0.2429745032
2015-01-17,15.7974996567,18.2747307887,0.2427583505
2015-01-18,15.7974996567,18.2759648413,0.2427583505
2015-01-19,15.8519596016,18.4261059468,0.2443760108
2015-01-20,15.8573422746,18.3270736138,0.2424800167
2015-01-21,15.8203473720,18.3284307480,0.2422135504
2015-01-22,15.8153476854,18.0467461111,0.2453706431
2015-01-23,15.8418426343,17.8645579600,0.2485284538
2015-01-24,15.7919998169,17.6978850589,0.2461972771
2015-01-25,15.7919998169,17.6971603489,0.2461972771
2015-01-26,15.8580484698,17.8973480042,0.2393286765
2015-01-27,15.9493407743,18.1312978309,0.2386405524
2015-01-28,15.9170484247,18.0537180282,0.2343455706
2015-01-29,15.9010981012,17.9831752444,0.2299364783
2015-01-30,16.2019386170,18.2926070691,0.2306626219
2015-01-31,16.1574993134,18.2345000405,0.2334758651
2015-02-01,16.1574993134,18.2325673953,0.2334758651
